Frequency (Hz)	Level (dB)
43.066406	-85.805634
86.132812	-76.904442
129.199219	-73.786354
172.265625	-74.351715
215.332031	-73.065788
258.398438	-71.246490
301.464844	-70.397781
344.531250	-67.973999
387.597656	-67.327118
430.664062	-63.060993
473.730469	-59.857506
516.796875	-57.777828
559.863281	-53.517586
602.929688	-52.147236
645.996094	-52.665073
689.062500	-52.775517
732.128906	-51.357510
775.195312	-47.343121
818.261719	-46.176590
861.328125	-45.020538
904.394531	-43.448513
947.460938	-43.522549
990.527344	-40.576630
1033.593750	-38.269218
1076.660156	-40.871391
1119.726562	-43.310833
1162.792969	-45.508606
1205.859375	-46.695023
1248.925781	-45.658001
1291.992188	-43.063560
1335.058594	-43.588699
1378.125000	-44.304512
1421.191406	-44.019619
1464.257812	-45.121742
1507.324219	-48.152027
1550.390625	-47.352665
1593.457031	-45.139233
1636.523438	-45.380253
1679.589844	-45.909328
1722.656250	-47.496330
1765.722656	-46.621918
1808.789062	-45.937622
1851.855469	-48.141369
1894.921875	-47.634369
1937.988281	-48.304390
1981.054688	-47.917667
2024.121094	-47.029770
2067.187500	-45.921944
2110.253906	-45.099854
2153.320312	-43.455868
2196.386719	-44.627628
2239.453125	-46.769855
2282.519531	-45.543781
2325.585938	-45.228794
2368.652344	-45.220352
2411.718750	-45.334095
2454.785156	-45.031258
2497.851562	-43.747440
2540.917969	-46.547337
2583.984375	-45.282223
2627.050781	-44.391342
2670.117188	-44.369980
2713.183594	-45.947006
2756.250000	-45.902603
2799.316406	-45.453293
2842.382812	-45.156269
2885.449219	-45.511711
2928.515625	-44.854225
2971.582031	-43.915955
3014.648438	-42.649170
3057.714844	-42.625751
3100.781250	-40.718044
3143.847656	-40.212006
3186.914062	-40.546371
3229.980469	-39.967678
3273.046875	-39.273544
3316.113281	-40.993320
3359.179688	-39.227287
3402.246094	-39.833000
3445.312500	-39.847111
3488.378906	-39.491253
3531.445312	-39.895561
3574.511719	-39.583656
3617.578125	-40.860195
3660.644531	-43.078236
3703.710938	-42.874725
3746.777344	-43.154659
3789.843750	-43.202923
3832.910156	-39.980770
3875.976562	-40.857410
3919.042969	-40.414593
3962.109375	-39.429508
4005.175781	-42.583488
4048.242188	-43.291824
4091.308594	-42.554779
4134.375000	-42.162769
4177.441406	-42.514549
4220.507812	-42.798435
4263.574219	-47.123837
4306.640625	-46.256897
4349.707031	-46.062119
4392.773438	-46.285210
4435.839844	-44.362892
4478.906250	-46.145805
4521.972656	-47.628300
4565.039062	-46.454754
4608.105469	-47.641716
4651.171875	-46.325138
4694.238281	-47.969616
4737.304688	-47.450794
4780.371094	-48.901062
4823.437500	-48.010265
4866.503906	-48.334530
4909.570312	-51.288139
4952.636719	-50.430702
4995.703125	-50.100529
5038.769531	-51.151867
5081.835938	-50.543098
5124.902344	-49.496937
5167.968750	-47.920792
5211.035156	-49.824509
5254.101562	-49.095242
5297.167969	-49.728592
5340.234375	-50.064449
5383.300781	-49.576088
5426.367188	-50.272377
5469.433594	-49.835903
5512.500000	-49.142178
5555.566406	-48.302975
5598.632812	-49.078251
5641.699219	-48.759701
5684.765625	-49.553764
5727.832031	-49.661114
5770.898438	-50.019264
5813.964844	-50.289879
5857.031250	-48.956287
5900.097656	-48.584068
5943.164062	-48.166721
5986.230469	-49.855789
6029.296875	-50.761257
6072.363281	-50.001842
6115.429688	-49.094021
6158.496094	-49.318058
6201.562500	-47.944675
6244.628906	-47.945210
6287.695312	-48.283455
6330.761719	-50.400154
6373.828125	-52.035351
6416.894531	-50.955978
6459.960938	-50.413689
6503.027344	-51.724857
6546.093750	-51.664894
6589.160156	-50.203320
6632.226562	-51.770229
6675.292969	-52.962833
6718.359375	-51.281914
6761.425781	-53.078743
6804.492188	-52.613766
6847.558594	-51.475361
6890.625000	-53.785503
6933.691406	-53.300999
6976.757812	-50.632309
7019.824219	-49.281918
7062.890625	-52.616802
7105.957031	-52.994255
7149.023438	-53.314175
7192.089844	-52.920120
7235.156250	-52.093552
7278.222656	-52.008255
7321.289062	-55.627239
7364.355469	-58.128944
7407.421875	-56.977543
7450.488281	-55.910927
7493.554688	-57.195606
7536.621094	-57.375572
7579.687500	-57.074825
