Frequency (Hz)	Level (dB)
43.066406	-84.858978
86.132812	-76.930374
129.199219	-75.324371
172.265625	-75.081024
215.332031	-74.993660
258.398438	-74.047478
301.464844	-70.667839
344.531250	-69.531677
387.597656	-69.054115
430.664062	-65.516434
473.730469	-60.635582
516.796875	-57.517506
559.863281	-55.970875
602.929688	-56.135971
645.996094	-56.088181
689.062500	-51.400314
732.128906	-52.093185
775.195312	-51.650642
818.261719	-46.326702
861.328125	-44.682796
904.394531	-44.781902
947.460938	-45.277199
990.527344	-44.717121
1033.593750	-42.801647
1076.660156	-45.471149
1119.726562	-47.635826
1162.792969	-46.897190
1205.859375	-48.145775
1248.925781	-48.320225
1291.992188	-48.281494
1335.058594	-47.537029
1378.125000	-46.950363
1421.191406	-47.294331
1464.257812	-47.510883
1507.324219	-47.665039
1550.390625	-48.795555
1593.457031	-49.101212
1636.523438	-48.221001
1679.589844	-53.055721
1722.656250	-52.850353
1765.722656	-51.545742
1808.789062	-52.778111
1851.855469	-52.900894
1894.921875	-52.164555
1937.988281	-51.813816
1981.054688	-51.867611
2024.121094	-52.310375
2067.187500	-50.875713
2110.253906	-52.281441
2153.320312	-51.882393
2196.386719	-50.066864
2239.453125	-51.841419
2282.519531	-51.275944
2325.585938	-49.488869
2368.652344	-50.663479
2411.718750	-50.164841
2454.785156	-49.728077
2497.851562	-49.645443
2540.917969	-49.523876
2583.984375	-49.103851
2627.050781	-49.824280
2670.117188	-49.748726
2713.183594	-49.508804
2756.250000	-49.908428
2799.316406	-50.752186
2842.382812	-51.393600
2885.449219	-52.113804
2928.515625	-50.458084
2971.582031	-50.720570
3014.648438	-50.170403
3057.714844	-48.616138
3100.781250	-48.406773
3143.847656	-47.377113
3186.914062	-46.161316
3229.980469	-44.085316
3273.046875	-44.193718
3316.113281	-47.370106
3359.179688	-47.619911
3402.246094	-45.222290
3445.312500	-43.576130
3488.378906	-44.438332
3531.445312	-46.229649
3574.511719	-44.853832
3617.578125	-44.505459
3660.644531	-46.651772
3703.710938	-45.031563
3746.777344	-43.671452
3789.843750	-44.011944
3832.910156	-46.824429
3875.976562	-47.774612
3919.042969	-47.203403
3962.109375	-45.068863
4005.175781	-45.015820
4048.242188	-44.239990
4091.308594	-45.108353
4134.375000	-45.606941
4177.441406	-46.650253
4220.507812	-47.299831
4263.574219	-46.547722
4306.640625	-48.096405
4349.707031	-48.949066
4392.773438	-49.734646
4435.839844	-51.118309
4478.906250	-49.522175
4521.972656	-49.316059
4565.039062	-49.572067
4608.105469	-49.555199
4651.171875	-51.393215
4694.238281	-49.404896
4737.304688	-47.704479
4780.371094	-48.508835
4823.437500	-51.709751
4866.503906	-52.709660
4909.570312	-50.534798
4952.636719	-52.773453
4995.703125	-51.189091
5038.769531	-51.171555
5081.835938	-48.575661
