Frequency (Hz)	Level (dB)
43.066406	-92.361748
86.132812	-82.775589
129.199219	-80.803741
172.265625	-82.717804
215.332031	-83.635376
258.398438	-86.082794
301.464844	-91.382935
344.531250	-91.483353
387.597656	-89.697990
430.664062	-83.714699
473.730469	-79.487869
516.796875	-75.690384
559.863281	-68.946060
602.929688	-59.161732
645.996094	-37.661026
689.062500	-28.116190
732.128906	-30.972641
775.195312	-51.086269
818.261719	-62.422977
861.328125	-65.095505
904.394531	-67.787361
947.460938	-68.247536
990.527344	-67.850998
1033.593750	-66.774658
1076.660156	-71.187721
1119.726562	-74.107986
1162.792969	-73.794312
1205.859375	-76.379684
1248.925781	-79.245735
1291.992188	-80.888443
1335.058594	-75.870399
1378.125000	-63.265152
1421.191406	-63.108322
1464.257812	-74.341423
1507.324219	-80.797348
1550.390625	-84.286270
1593.457031	-83.810074
1636.523438	-85.275375
1679.589844	-90.943756
1722.656250	-89.718018
1765.722656	-93.684685
1808.789062	-91.541534
1851.855469	-92.276443
1894.921875	-91.934624
1937.988281	-92.616241
1981.054688	-92.019051
2024.121094	-87.228951
2067.187500	-68.861977
2110.253906	-65.825111
2153.320312	-74.869499
2196.386719	-92.586464
2239.453125	-94.016953
2282.519531	-94.466454
2325.585938	-93.885551
2368.652344	-94.552643
2411.718750	-95.476814
2454.785156	-94.291451
2497.851562	-95.289108
2540.917969	-94.000908
2583.984375	-94.053444
2627.050781	-94.317177
2670.117188	-93.829285
2713.183594	-95.032822
2756.250000	-88.744301
2799.316406	-83.543114
2842.382812	-89.123039
2885.449219	-99.148178
2928.515625	-100.319199
2971.582031	-99.495857
3014.648438	-95.778961
3057.714844	-97.255699
3100.781250	-99.066330
3143.847656	-99.287842
3186.914062	-96.940514
3229.980469	-95.618622
3273.046875	-95.930008
3316.113281	-98.749512
3359.179688	-98.388870
3402.246094	-96.387085
3445.312500	-83.309311
3488.378906	-73.678444
3531.445312	-76.341652
3574.511719	-93.385643
3617.578125	-98.159256
3660.644531	-99.355843
3703.710938	-97.594025
3746.777344	-97.378120
3789.843750	-98.909782
3832.910156	-100.534508
3875.976562	-102.174362
3919.042969	-101.421173
3962.109375	-99.405502
4005.175781	-101.708000
4048.242188	-103.385376
4091.308594	-105.975243
4134.375000	-97.821533
4177.441406	-89.805733
4220.507812	-89.490501
4263.574219	-96.645622
4306.640625	-106.257812
4349.707031	-107.823837
4392.773438	-104.699905
4435.839844	-103.957916
4478.906250	-107.234535
4521.972656	-108.810898
4565.039062	-107.123055
4608.105469	-107.876877
4651.171875	-105.299507
4694.238281	-105.753281
4737.304688	-107.306458
4780.371094	-107.681526
4823.437500	-106.531937
4866.503906	-92.652298
4909.570312	-89.893318
4952.636719	-98.167374
4995.703125	-110.142380
5038.769531	-112.031044
5081.835938	-108.589905
5124.902344	-106.917786
5167.968750	-108.721016
5211.035156	-112.671303
5254.101562	-114.645851
5297.167969	-114.320869
5340.234375	-113.124641
5383.300781	-113.907417
5426.367188	-114.737572
5469.433594	-115.017075
5512.500000	-114.591576
5555.566406	-110.244881
5598.632812	-106.353851
5641.699219	-109.436317
5684.765625	-114.037331
5727.832031	-114.972580
5770.898438	-113.963684
5813.964844	-111.488785
5857.031250	-110.097397
5900.097656	-110.536575
5943.164062	-112.713799
5986.230469	-114.366196
6029.296875	-113.521484
6072.363281	-113.422508
6115.429688	-114.331871
6158.496094	-114.515587
6201.562500	-114.322914
6244.628906	-111.239479
6287.695312	-108.450409
6330.761719	-110.408028
6373.828125	-114.250000
6416.894531	-114.448654
6459.960938	-114.661957
6503.027344	-113.841110
6546.093750	-113.304718
6589.160156	-112.230766
6632.226562	-111.695534
6675.292969	-112.268738
6718.359375	-111.989494
6761.425781	-112.294701
6804.492188	-113.522850
6847.558594	-113.912254
6890.625000	-114.274902
6933.691406	-114.902733
6976.757812	-111.551735
7019.824219	-110.727829
7062.890625	-113.087448
7105.957031	-113.588814
7149.023438	-112.922852
7192.089844	-112.903084
7235.156250	-113.984795
7278.222656	-115.111725
7321.289062	-115.327759
7364.355469	-115.123795
7407.421875	-114.953491
7450.488281	-114.834213
7493.554688	-114.856888
7536.621094	-114.704941
7579.687500	-114.968315
7622.753906	-115.281898
7665.820312	-114.883614
7708.886719	-114.461411
7751.953125	-115.122818
7795.019531	-115.617226
7838.085938	-115.839928
7881.152344	-115.674896
7924.218750	-115.070862
7967.285156	-115.004410
8010.351562	-115.026527
8053.417969	-114.990601
8096.484375	-115.233376
8139.550781	-115.307060
8182.617188	-115.541069
8225.683594	-115.390182
8268.750000	-115.467239
8311.816406	-115.784966
8354.882812	-115.597458
8397.949219	-115.423561
8441.015625	-115.261024
8484.082031	-115.688179
8527.148438	-115.343536
8570.214844	-115.922997
8613.281250	-115.678612
8656.347656	-115.675453
8699.414062	-115.547577
8742.480469	-115.736153
8785.546875	-115.659935
8828.613281	-115.862366
8871.679688	-115.739555
8914.746094	-115.301132
8957.812500	-115.678757
9000.878906	-115.951019
9043.945312	-115.771492
9087.011719	-115.496895
9130.078125	-115.421768
9173.144531	-115.735916
9216.210938	-116.005470
9259.277344	-115.958572
9302.343750	-115.694443
9345.410156	-115.774063
9388.476562	-116.131996
9431.542969	-115.856293
9474.609375	-115.505081
9517.675781	-115.285721
9560.742188	-115.257019
9603.808594	-115.453865
9646.875000	-116.181778
9689.941406	-115.630760
9733.007812	-115.599747
9776.074219	-115.987473
9819.140625	-115.568222
9862.207031	-115.810875
9905.273438	-115.536774
9948.339844	-115.411942
9991.406250	-115.721756
10034.472656	-115.130180
10077.539062	-115.700096
10120.605469	-115.693893
10163.671875	-115.277481
10206.738281	-115.756104
10249.804688	-115.986778
10292.871094	-115.579857
10335.937500	-115.370804
10379.003906	-115.393181
10422.070312	-115.727341
10465.136719	-115.810455
10508.203125	-115.479301
10551.269531	-115.346001
10594.335938	-115.617981
10637.402344	-115.752716
10680.468750	-115.753563
10723.535156	-115.641296
10766.601562	-115.696892
10809.667969	-115.827370
10852.734375	-115.790512
10895.800781	-115.501801
10938.867188	-115.622681
10981.933594	-115.228035
11025.000000	-115.619949
11068.066406	-115.576828
11111.132812	-115.459183
11154.199219	-115.789413
11197.265625	-115.762878
11240.332031	-115.519897
11283.398438	-115.604752
11326.464844	-115.547356
11369.531250	-115.598190
11412.597656	-115.749413
11455.664062	-116.192017
11498.730469	-115.492943
11541.796875	-115.252029
11584.863281	-115.820793
11627.929688	-115.883644
11670.996094	-115.477547
11714.062500	-115.706749
11757.128906	-115.423035
11800.195312	-115.904114
11843.261719	-115.644104
11886.328125	-115.325089
11929.394531	-115.592865
11972.460938	-115.805061
12015.527344	-115.806976
12058.593750	-115.673332
12101.660156	-115.591385
12144.726562	-115.597954
12187.792969	-115.783661
12230.859375	-115.867729
12273.925781	-115.885941
12316.992188	-115.376511
12360.058594	-115.273460
12403.125000	-115.733215
12446.191406	-116.348175
12489.257812	-115.910408
12532.324219	-116.022621
12575.390625	-115.660576
12618.457031	-115.931328
12661.523438	-115.964432
12704.589844	-115.489700
