Frequency (Hz)	Level (dB)
43.066406	-92.644592
86.132812	-84.599144
129.199219	-81.437340
172.265625	-80.302681
215.332031	-84.366676
258.398438	-90.591164
301.464844	-99.384735
344.531250	-101.989975
387.597656	-102.468506
430.664062	-103.403633
473.730469	-104.516304
516.796875	-101.846695
559.863281	-100.282990
602.929688	-97.996513
645.996094	-96.987343
689.062500	-90.408745
732.128906	-87.972244
775.195312	-83.679337
818.261719	-81.922646
861.328125	-81.286369
904.394531	-80.016693
947.460938	-79.508308
990.527344	-75.272774
1033.593750	-74.245163
1076.660156	-75.918083
1119.726562	-75.363060
1162.792969	-76.675255
1205.859375	-78.149208
1248.925781	-78.419250
1291.992188	-76.189186
1335.058594	-76.330841
1378.125000	-77.126015
1421.191406	-75.690437
1464.257812	-76.043785
1507.324219	-79.452148
1550.390625	-76.440636
1593.457031	-72.957535
1636.523438	-72.859947
1679.589844	-73.730339
1722.656250	-72.292046
1765.722656	-69.601227
1808.789062	-67.131325
1851.855469	-66.330597
1894.921875	-59.325794
1937.988281	-43.047798
1981.054688	-30.450287
2024.121094	-31.168627
2067.187500	-46.024063
2110.253906	-58.118176
2153.320312	-62.565929
2196.386719	-67.379753
2239.453125	-73.793091
2282.519531	-73.439056
2325.585938	-75.447899
2368.652344	-74.517494
2411.718750	-77.519028
2454.785156	-78.052933
2497.851562	-77.974007
2540.917969	-80.503769
2583.984375	-79.180298
2627.050781	-81.873055
2670.117188	-81.999786
2713.183594	-83.695366
2756.250000	-83.252075
2799.316406	-82.738388
2842.382812	-84.465134
2885.449219	-83.313194
2928.515625	-83.493988
2971.582031	-84.177567
3014.648438	-83.478821
3057.714844	-82.484161
3100.781250	-81.468788
3143.847656	-83.046417
3186.914062	-84.706703
3229.980469	-86.116730
3273.046875	-83.888458
3316.113281	-85.249825
3359.179688	-84.934387
3402.246094	-84.829147
3445.312500	-85.170349
3488.378906	-86.170784
3531.445312	-87.180107
3574.511719	-86.932098
3617.578125	-88.058907
3660.644531	-89.805733
3703.710938	-88.393349
3746.777344	-89.084099
3789.843750	-89.936798
3832.910156	-88.449486
3875.976562	-88.795235
3919.042969	-88.511200
3962.109375	-79.314713
4005.175781	-75.168251
4048.242188	-81.587318
4091.308594	-87.868538
4134.375000	-88.089859
4177.441406	-89.694946
4220.507812	-91.037788
4263.574219	-94.850243
4306.640625	-95.033737
4349.707031	-93.326553
4392.773438	-94.349319
4435.839844	-94.825188
4478.906250	-98.745285
4521.972656	-98.672668
4565.039062	-96.762482
4608.105469	-99.374527
4651.171875	-99.251556
4694.238281	-98.557510
4737.304688	-98.348061
4780.371094	-98.343185
4823.437500	-97.075859
4866.503906	-99.256805
4909.570312	-100.946465
4952.636719	-99.839226
4995.703125	-100.558632
5038.769531	-100.294640
5081.835938	-98.999756
5124.902344	-100.695831
5167.968750	-100.402122
5211.035156	-102.056381
5254.101562	-102.171143
5297.167969	-101.464211
5340.234375	-103.200417
5383.300781	-101.986115
5426.367188	-102.357346
